Save,Save
"Edit '%1'","Edit '%1'"
"New Ship Area","New Ship Area"
"Ship Area Information","Ship Area Information"
Address,Address
"Ship Area Address","Ship Area Address"
"Address Type","Address Type"
--select--,--select--
City,City
State,State
Country,Country
Latitude,Latitude
Longitude,Longitude
"Ship Area Info","Ship Area Info"
"Add Ship Rate","Add Ship Rate"
"Ship Rate Information","Ship Rate Information"
"Ship Rate","Ship Rate"
"Ship Rate Info","Ship Rate Info"
"Your shipping rate has been successfully updated","Your shipping rate has been successfully updated"
"Please upload Csv file","Please upload Csv file"
"Add Shipping Rate","Add Shipping Rate"
"Add Shipping Area","Add Shipping Area"
"Ship area removed successfully.","Ship area removed successfully."
"Not permitted.","Not permitted."
"Ship rate removed successfully.","Ship rate removed successfully."
"Ship area deleted successfully.","Ship area deleted successfully."
"Invalid request.","Invalid request."
"Ship rate deleted successfully.","Ship rate deleted successfully."
"Your shipping origin has been successfully saved.","Your shipping origin has been successfully saved."
"Invalid seller","Invalid seller"
"Add Shipping Origin","Add Shipping Origin"
"Ship area saved successfully.","Ship area saved successfully."
"Ship area already exist.","Ship area already exist."
"Address has to be completed","Address has to be completed"
"Address Type has to be completed","Address Type has to be completed"
"Latitude should contain only decimal numbers","Latitude should contain only decimal numbers"
"Longitude should contain only decimal numbers","Longitude should contain only decimal numbers"
Lists,Lists
"Manage Info","Manage Info"
"This ship area no longer exists.","This ship area no longer exists."
"Edit Ship Area","Edit Ship Area"
"Edit info","Edit info"
"New Info","New Info"
"Hyper Local Shipping Area","Hyper Local Shipping Area"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"You saved the ship area detail.","You saved the ship area detail."
"New Ship Rate","New Ship Rate"
"Hyper Local Shipping Rate","Hyper Local Shipping Rate"
"Please upload CSV file","Please upload CSV file"
"Address Set","Address Set"
"Fill Correct Address.","Fill Correct Address."
"Please set your location.","Please set your location."
". ' is invalid'",". ' is invalid'"
Distance,Distance
"City, State/Province & Country","City, State/Province & Country"
kilometer,kilometer
Mile,Mile
"Seller do not provide shipping at your location.","Seller do not provide shipping at your location."
"You are not authorized to view this product.","You are not authorized to view this product."
"Shipping address is not same as address selected.","Shipping address is not same as address selected."
"Please select your address.","Please select your address."
Edit,Edit
Admin,Admin
"Add your ship area","Add your ship area"
"Enter Location","Enter Location"
"My Ship Area List","My Ship Area List"
"Delete Ship Area","Delete Ship Area"
Action,Action
Delete,Delete
"No ship area available","No ship area available"
Back,Back
"Add your shipping rate","Add your shipping rate"
"Download Sample File","Download Sample File"
"Upload CSV ","Upload CSV "
"My Ship Rate List","My Ship Rate List"
"Delete Ship Rate","Delete Ship Rate"
Weight,Weight
Cost,Cost
"From :","From :"
"To :","To :"
"No ship rate available","No ship rate available"
Hyperlocal,Hyperlocal
"Seller Origin","Seller Origin"
"Add your shipping origin address","Add your shipping origin address"
Menu,Menu
"Go to shop","Go to shop"
"On location address change cart will empty.","On location address change cart will empty."
"You are sure to delete ship area.","You are sure to delete ship area."
"You are sure to delete selected ship area.","You are sure to delete selected ship area."
"Please select record for delete.","Please select record for delete."
Webkul,Webkul
"Hyperlocal Marketplace","Hyperlocal Marketplace"
"General Settings","General Settings"
Enable,Enable
"Google API Key","Google API Key"
"Heading For Location Popup Window","Heading For Location Popup Window"
"Radius Unit","Radius Unit"
"Set Ship Area/ Filter Product On The Basis Of","Set Ship Area/ Filter Product On The Basis Of"
Radius,Radius
"Admin's  Origin Address","Admin's  Origin Address"
"Hyper Local shipping","Hyper Local shipping"
"Enabled for Checkout","Enabled for Checkout"
Title,Title
"Show Method if Not Applicable","Show Method if Not Applicable"
"Add New Ship Area","Add New Ship Area"
"Do you want to delete selected ship area record?","Do you want to delete selected ship area record?"
Seller,Seller
"Add New Ship Rate","Add New Ship Rate"
"Do you want to delete selected ship rate record?","Do you want to delete selected ship rate record?"
"Distance From","Distance From"
"Distance To","Distance To"
"Weight From","Weight From"
"Weight To","Weight To"
"Shipping Cost","Shipping Cost"
